observation_year,location,pest_value,maxt,mint,rh1(%),rh2(%),rf(mm),ws(kmph),ssh(hrs),evp(mm),rice_area_(1000_ha),rice_production_(1000_tons),rice_yield_(kg_per_ha)
1995,Raipur,102.61538461538461,33.440384615384616,19.84423076923077,77.73461538461538,46.43653846153846,13.944230769230769,6.300000000000001,6.8961538461538465,5.921153846153846,908.4,1314.9,1447.49
1995,Raipur,159.55769230769232,33.440384615384616,19.84423076923077,77.73461538461538,46.43653846153846,13.944230769230769,6.300000000000001,6.8961538461538465,5.921153846153846,908.4,1314.9,1447.49
1995,Cuttack,6.1923076923076925,31.690384615384616,21.54615384615385,90.63846153846154,56.525000000000006,29.148076923076925,4.834615384615384,7.2288461538461535,4.309615384615385,572.11,811.68,1418.75
1995,Ludhiana,4.663461538461538,29.417307692307695,16.576923076923077,82.29807692307692,45.909615384615385,23.83076923076923,4.3173076923076925,8.790384615384616,4.515384615384615,242.0,782.75,3234.5
1996,Raipur,10.153846153846153,33.159615384615385,19.659615384615385,77.0673076923077,42.32692307692308,20.178846153846152,4.546153846153846,7.357692307692308,5.949999999999999,860.4,1448.8,1683.87
1996,Raipur,6.865384615384615,32.94615384615385,19.982692307692307,78.84807692307693,41.97692307692308,20.819230769230767,4.575,6.926923076923076,5.6038461538461535,860.4,1448.8,1683.87
1996,Raipur,151.21153846153845,33.159615384615385,19.659615384615385,77.0673076923077,42.32692307692308,20.178846153846152,4.546153846153846,7.357692307692308,5.949999999999999,860.4,1448.8,1683.87
1996,Cuttack,15.740384615384615,32.340384615384615,22.02692307692308,90.4326923076923,56.75961538461539,24.74230769230769,5.098076923076923,7.167307692307692,4.773076923076923,570.94,595.76,1043.47
1997,Raipur,7.923076923076923,32.24230769230769,19.584615384615383,80.46538461538461,47.66153846153846,23.396153846153844,3.6673076923076926,6.653846153846154,5.0942307692307685,918.6,1016.2,1106.25
1997,Raipur,121.09615384615384,32.24230769230769,19.584615384615383,80.46538461538461,47.66153846153846,23.396153846153844,3.6673076923076926,6.653846153846154,5.0942307692307685,918.6,1016.2,1106.25
1997,Raipur,126.86538461538461,32.24230769230769,19.584615384615383,80.46538461538461,47.66153846153846,23.396153846153844,3.6673076923076926,6.653846153846154,5.0942307692307685,918.6,1016.2,1106.25
1997,Cuttack,13.365384615384615,31.13653846153846,21.934615384615384,92.42115384615384,63.44230769230769,35.425,4.888461538461538,6.357692307692308,4.101923076923077,579.72,725.35,1251.21
1998,Raipur,172.90384615384616,32.20384615384615,20.398076923076925,83.53461538461539,51.61346153846154,20.923076923076923,4.311538461538461,6.632692307692308,4.8769230769230765,902.0,643.0,712.86
1998,Raipur,1106.3461538461538,32.20384615384615,20.398076923076925,83.53461538461539,51.61346153846154,20.923076923076923,4.311538461538461,6.632692307692308,4.8769230769230765,902.0,643.0,712.86
1998,Raipur,110.78846153846153,32.20384615384615,20.398076923076925,83.53461538461539,51.61346153846154,20.923076923076923,4.311538461538461,6.632692307692308,4.8769230769230765,902.0,643.0,712.86
1998,Cuttack,22.76923076923077,31.823076923076922,21.259615384615383,90.5,59.84615384615385,29.701923076923077,5.401923076923077,6.513461538461538,4.411538461538462,568.76,818.51,1439.11
1998,Ludhiana,80.86538461538461,29.966346153846153,17.190384615384616,85.36346153846154,48.90384615384615,16.7375,4.049038461538462,8.142307692307693,4.230769230769231,253.45,829.65,3273.43
1999,Raipur,454.4423076923077,32.521153846153844,19.411538461538463,79.6173076923077,45.65384615384615,18.661538461538463,5.542307692307692,6.576923076923077,5.138461538461538,950.21,1378.88,1451.13
1999,Raipur,207.0,32.521153846153844,19.411538461538463,79.6173076923077,45.65384615384615,18.73846153846154,5.542307692307692,6.576923076923077,5.138461538461538,950.21,1378.88,1451.13
1999,Cuttack,31.153846153846153,31.551923076923078,21.559615384615384,91.1173076923077,58.56923076923077,29.067307692307693,3.805769230769231,6.207692307692308,4.0115384615384615,586.41,335.45,572.04
1999,Ludhiana,7.173076923076923,30.648076923076925,17.525,83.88076923076923,48.50961538461539,11.2,4.228846153846154,8.142307692307693,4.653846153846154,249.3,901.3,3615.32
2000,Raipur,36.96153846153846,33.003846153846155,19.217307692307692,79.44423076923077,42.27307692307692,15.09423076923077,5.198076923076924,7.275,5.086538461538462,889.78,461.63,518.81
2000,Raipur,93.90384615384616,33.003846153846155,19.217307692307692,79.44423076923077,42.27307692307692,15.09423076923077,5.198076923076924,7.275,5.086538461538462,889.78,461.63,518.81
2000,Raipur,843.3076923076923,33.003846153846155,19.217307692307692,79.44423076923077,42.27307692307692,15.09423076923077,5.198076923076924,7.275,5.086538461538462,889.78,461.63,518.81
2000,Raipur,1.8653846153846154,33.003846153846155,19.217307692307692,79.44423076923077,42.27307692307692,15.09423076923077,5.198076923076924,7.275,5.086538461538462,889.78,461.63,518.81
2000,Raipur,21.653846153846153,33.003846153846155,19.217307692307692,79.44423076923077,42.27307692307692,15.09423076923077,5.198076923076924,7.275,5.086538461538462,889.78,461.63,518.81
2000,Raipur,149.92307692307693,33.003846153846155,19.217307692307692,79.44423076923077,42.27307692307692,15.09423076923077,5.198076923076924,7.275,5.086538461538462,889.78,461.63,518.81
2000,Cuttack,14.096153846153847,31.984615384615385,22.101923076923075,90.77884615384616,55.54038461538461,32.16346153846154,4.513461538461538,6.698076923076924,4.344230769230769,528.38,564.24,1067.87
2000,Ludhiana,4.163461538461538,30.17115384615385,17.432692307692307,84.99423076923077,47.715384615384615,13.182692307692308,3.9923076923076923,7.875,4.492307692307692,250.6,991.5,3956.5
